商品ID,SKU_ID,商品名称,规格,商家编码,当前成本(元/件),订单数,件数
PD00001,SKU001,"夏季冰丝凉席三件套","1.5m床-灰色",SP00001,28,45,90
PD00001,SKU002,"夏季冰丝凉席三件套","1.8m床-灰色",SP00001,33,38,72
PD00001,SKU003,"夏季冰丝凉席三件套","1.5m床-蓝色",SP00001,28,40,78
PD00002,SKU004,"无线蓝牙耳机Pro版","黑色标准版",SP00002,45,55,70
PD00002,SKU005,"无线蓝牙耳机Pro版","白色降噪版",SP00002,65,48,55
PD00003,SKU006,"儿童益智积木拼装玩具","大颗粒100粒",SP00003,18,35,50
PD00003,SKU007,"儿童益智积木拼装玩具","大颗粒200粒",SP00003,30,30,42
PD00004,SKU008,"不锈钢保温杯大容量","500ml-黑色",SP00004,15,42,55
PD00004,SKU009,"不锈钢保温杯大容量","800ml-银色",SP00004,20,38,48
PD00005,SKU010,"男士运动休闲鞋透气款","39码-黑色",SP00005,42,28,45
PD00005,SKU011,"男士运动休闲鞋透气款","40码-黑色",SP00005,42,25,38
PD00005,SKU012,"男士运动休闲鞋透气款","41码-白色",SP00005,42,30,42
PD00006,SKU013,"女士防晒衣轻薄透气","M码-浅蓝",SP00006,22,32,48
PD00006,SKU014,"女士防晒衣轻薄透气","L码-粉色",SP00006,22,28,40
PD00007,SKU015,"有机红枣夹核桃500g","500g袋装",SP00007,12,35,52
PD00007,SKU016,"有机红枣夹核桃500g","1000g礼盒",SP00007,22,25,35
PD00008,SKU017,"桌面手机支架可折叠","基础款-黑色",SP00008,5,30,55
PD00008,SKU018,"桌面手机支架可折叠","升级款-银色",SP00008,8,25,42
